Dup1	Dup2
LOC110069941	LOC110069968
LOC110069941	LOC110070115
LOC110069941	LOC110070198
LOC110069941	LOC110070223
LOC110069941	LOC110070465
LOC110069941	LOC110070731
LOC110069941	LOC110071104
LOC110069941	LOC110071113
LOC110069941	LOC110071468
LOC110069941	LOC110071562
LOC110069941	LOC110071601
LOC110069941	LOC110071660
LOC110069941	LOC110071674
LOC110069941	LOC110082591
LOC110069941	LOC110088030
LOC110069941	LOC110088049
LOC110069941	LOC110091290
LOC110069968	LOC110070115
LOC110069968	LOC110070198
LOC110069968	LOC110070223
LOC110069968	LOC110070465
LOC110069968	LOC110070731
LOC110069968	LOC110071104
LOC110069968	LOC110071113
LOC110069968	LOC110071468
LOC110069968	LOC110071562
LOC110069968	LOC110071601
LOC110069968	LOC110071660
LOC110069968	LOC110071674
LOC110069968	LOC110082591
LOC110069968	LOC110088030
LOC110069968	LOC110088049
LOC110069968	LOC110091290
LOC110070115	LOC110070198
LOC110070115	LOC110070223
LOC110070115	LOC110070465
LOC110070115	LOC110070731
LOC110070115	LOC110071104
LOC110070115	LOC110071113
LOC110070115	LOC110071468
LOC110070115	LOC110071562
LOC110070115	LOC110071601
LOC110070115	LOC110071660
LOC110070115	LOC110071674
LOC110070115	LOC110082591
LOC110070115	LOC110088030
LOC110070115	LOC110088049
LOC110070115	LOC110091290
LOC110070198	LOC110070223
LOC110070198	LOC110070465
LOC110070198	LOC110070731
LOC110070198	LOC110071104
LOC110070198	LOC110071113
LOC110070198	LOC110071468
LOC110070198	LOC110071562
LOC110070198	LOC110071601
LOC110070198	LOC110071660
LOC110070198	LOC110071674
LOC110070198	LOC110082591
LOC110070198	LOC110088030
LOC110070198	LOC110088049
LOC110070198	LOC110091290
LOC110070223	LOC110070465
LOC110070223	LOC110070731
LOC110070223	LOC110071104
LOC110070223	LOC110071113
LOC110070223	LOC110071468
LOC110070223	LOC110071562
LOC110070223	LOC110071601
LOC110070223	LOC110071660
LOC110070223	LOC110071674
LOC110070223	LOC110082591
LOC110070223	LOC110088030
LOC110070223	LOC110088049
LOC110070223	LOC110091290
LOC110070465	LOC110070731
LOC110070465	LOC110071104
LOC110070465	LOC110071113
LOC110070465	LOC110071468
LOC110070465	LOC110071562
LOC110070465	LOC110071601
LOC110070465	LOC110071660
LOC110070465	LOC110071674
LOC110070465	LOC110082591
LOC110070465	LOC110088030
LOC110070465	LOC110088049
LOC110070465	LOC110091290
LOC110070731	LOC110071104
LOC110070731	LOC110071113
LOC110070731	LOC110071468
LOC110070731	LOC110071562
LOC110070731	LOC110071601
LOC110070731	LOC110071660
LOC110070731	LOC110071674
LOC110070731	LOC110082591
LOC110070731	LOC110088030
LOC110070731	LOC110088049
LOC110070731	LOC110091290
LOC110071104	LOC110071113
LOC110071104	LOC110071468
LOC110071104	LOC110071562
LOC110071104	LOC110071601
LOC110071104	LOC110071660
LOC110071104	LOC110071674
LOC110071104	LOC110082591
LOC110071104	LOC110088030
LOC110071104	LOC110088049
LOC110071104	LOC110091290
LOC110071113	LOC110071468
LOC110071113	LOC110071562
LOC110071113	LOC110071601
LOC110071113	LOC110071660
LOC110071113	LOC110071674
LOC110071113	LOC110082591
LOC110071113	LOC110088030
LOC110071113	LOC110088049
LOC110071113	LOC110091290
LOC110071468	LOC110071562
LOC110071468	LOC110071601
LOC110071468	LOC110071660
LOC110071468	LOC110071674
LOC110071468	LOC110082591
LOC110071468	LOC110088030
LOC110071468	LOC110088049
LOC110071468	LOC110091290
LOC110071562	LOC110071601
LOC110071562	LOC110071660
LOC110071562	LOC110071674
LOC110071562	LOC110082591
LOC110071562	LOC110088030
LOC110071562	LOC110088049
LOC110071562	LOC110091290
LOC110071601	LOC110071660
LOC110071601	LOC110071674
LOC110071601	LOC110082591
LOC110071601	LOC110088030
LOC110071601	LOC110088049
LOC110071601	LOC110091290
LOC110071660	LOC110071674
LOC110071660	LOC110082591
LOC110071660	LOC110088030
LOC110071660	LOC110088049
LOC110071660	LOC110091290
LOC110071674	LOC110082591
LOC110071674	LOC110088030
LOC110071674	LOC110088049
LOC110071674	LOC110091290
LOC110082591	LOC110088030
LOC110082591	LOC110088049
LOC110082591	LOC110091290
LOC110088030	LOC110088049
LOC110088030	LOC110091290
LOC110088049	LOC110091290
LOC110078079	LOC110078154
LOC110078079	LOC110078160
LOC110078154	LOC110078160
ANGPTL3	ANGPTL4
ANGPTL3	FCN3
ANGPTL3	FGA
ANGPTL3	FGL1
ANGPTL3	FIBCD1
ANGPTL3	LOC110076122
ANGPTL3	LOC110078796
ANGPTL3	LOC110086200
ANGPTL3	LOC110086201
ANGPTL3	LOC110089654
ANGPTL3	MFAP4
ANGPTL3	TNN
ANGPTL3	TNR
ANGPTL4	FCN3
ANGPTL4	FGA
ANGPTL4	FGL1
ANGPTL4	FIBCD1
ANGPTL4	LOC110076122
ANGPTL4	LOC110078796
ANGPTL4	LOC110086200
ANGPTL4	LOC110086201
ANGPTL4	LOC110089654
ANGPTL4	MFAP4
ANGPTL4	TNN
ANGPTL4	TNR
FCN3	FGA
FCN3	FGL1
FCN3	FIBCD1
FCN3	LOC110076122
FCN3	LOC110078796
FCN3	LOC110086200
FCN3	LOC110086201
FCN3	LOC110089654
FCN3	MFAP4
FCN3	TNN
FCN3	TNR
FGA	FGL1
FGA	FIBCD1
FGA	LOC110076122
FGA	LOC110078796
FGA	LOC110086200
FGA	LOC110086201
FGA	LOC110089654
FGA	MFAP4
FGA	TNN
FGA	TNR
FGL1	FIBCD1
FGL1	LOC110076122
FGL1	LOC110078796
FGL1	LOC110086200
FGL1	LOC110086201
FGL1	LOC110089654
FGL1	MFAP4
FGL1	TNN
FGL1	TNR
FIBCD1	LOC110076122
FIBCD1	LOC110078796
FIBCD1	LOC110086200
FIBCD1	LOC110086201
FIBCD1	LOC110089654
FIBCD1	MFAP4
FIBCD1	TNN
FIBCD1	TNR
LOC110076122	LOC110078796
LOC110076122	LOC110086200
LOC110076122	LOC110086201
LOC110076122	LOC110089654
LOC110076122	MFAP4
LOC110076122	TNN
LOC110076122	TNR
LOC110078796	LOC110086200
LOC110078796	LOC110086201
LOC110078796	LOC110089654
LOC110078796	MFAP4
LOC110078796	TNN
LOC110078796	TNR
LOC110086200	LOC110086201
LOC110086200	LOC110089654
LOC110086200	MFAP4
LOC110086200	TNN
LOC110086200	TNR
LOC110086201	LOC110089654
LOC110086201	MFAP4
LOC110086201	TNN
LOC110086201	TNR
LOC110089654	MFAP4
LOC110089654	TNN
LOC110089654	TNR
MFAP4	TNN
MFAP4	TNR
TNN	TNR
LOC110082014	LOC110082016
LOC110082014	LOC110082079
LOC110082014	LOC110082080
LOC110082014	LOC110082081
LOC110082014	LOC110082082
LOC110082014	LOC110082087
LOC110082014	LOC110082089
LOC110082014	LOC110082095
LOC110082014	LOC110082096
LOC110082014	LOC110082097
LOC110082014	LOC110082098
LOC110082014	LOC110082099
LOC110082014	LOC110082103
LOC110082014	LOC110082104
LOC110082014	LOC110082106
LOC110082014	LOC110082107
LOC110082014	LOC110082108
LOC110082014	LOC110082109
LOC110082014	LOC110082110
LOC110082014	LOC110082111
LOC110082014	LOC110082113
LOC110082014	LOC110082117
LOC110082014	LOC110082127
LOC110082014	PCDH10
LOC110082014	PCDH12
LOC110082014	PCDH18
LOC110082014	PCDH19
LOC110082014	PCDH8
LOC110082016	LOC110082079
LOC110082016	LOC110082080
LOC110082016	LOC110082081
LOC110082016	LOC110082082
LOC110082016	LOC110082087
LOC110082016	LOC110082089
LOC110082016	LOC110082095
LOC110082016	LOC110082096
LOC110082016	LOC110082097
LOC110082016	LOC110082098
LOC110082016	LOC110082099
LOC110082016	LOC110082103
LOC110082016	LOC110082104
LOC110082016	LOC110082106
LOC110082016	LOC110082107
LOC110082016	LOC110082108
LOC110082016	LOC110082109
LOC110082016	LOC110082110
LOC110082016	LOC110082111
