Dup1	Dup2
ENSGALG00010000346	ENSGALG00010002664
ENSGALG00010000346	ENSGALG00010008124
ENSGALG00010002664	ENSGALG00010008124
ENSGALG00010005656	ENSGALG00010008084
ENSGALG00010005656	ENSGALG00010010061
ENSGALG00010005656	ENSGALG00010011879
ENSGALG00010005656	ENSGALG00010020676
ENSGALG00010005656	ENSGALG00010021763
ENSGALG00010005656	ENSGALG00010022329
ENSGALG00010005656	ENSGALG00010023724
ENSGALG00010005656	ENSGALG00010023886
ENSGALG00010005656	ENSGALG00010026909
ENSGALG00010005656	ENSGALG00010026928
ENSGALG00010005656	ENSGALG00010027106
ENSGALG00010005656	ENSGALG00010027108
ENSGALG00010008084	ENSGALG00010010061
ENSGALG00010008084	ENSGALG00010011879
ENSGALG00010008084	ENSGALG00010020676
ENSGALG00010008084	ENSGALG00010021763
ENSGALG00010008084	ENSGALG00010022329
ENSGALG00010008084	ENSGALG00010023724
ENSGALG00010008084	ENSGALG00010023886
ENSGALG00010008084	ENSGALG00010026909
ENSGALG00010008084	ENSGALG00010026928
ENSGALG00010008084	ENSGALG00010027106
ENSGALG00010008084	ENSGALG00010027108
ENSGALG00010010061	ENSGALG00010011879
ENSGALG00010010061	ENSGALG00010020676
ENSGALG00010010061	ENSGALG00010021763
ENSGALG00010010061	ENSGALG00010022329
ENSGALG00010010061	ENSGALG00010023724
ENSGALG00010010061	ENSGALG00010023886
ENSGALG00010010061	ENSGALG00010026909
ENSGALG00010010061	ENSGALG00010026928
ENSGALG00010010061	ENSGALG00010027106
ENSGALG00010010061	ENSGALG00010027108
ENSGALG00010011879	ENSGALG00010020676
ENSGALG00010011879	ENSGALG00010021763
ENSGALG00010011879	ENSGALG00010022329
ENSGALG00010011879	ENSGALG00010023724
ENSGALG00010011879	ENSGALG00010023886
ENSGALG00010011879	ENSGALG00010026909
ENSGALG00010011879	ENSGALG00010026928
ENSGALG00010011879	ENSGALG00010027106
ENSGALG00010011879	ENSGALG00010027108
ENSGALG00010020676	ENSGALG00010021763
ENSGALG00010020676	ENSGALG00010022329
ENSGALG00010020676	ENSGALG00010023724
ENSGALG00010020676	ENSGALG00010023886
ENSGALG00010020676	ENSGALG00010026909
ENSGALG00010020676	ENSGALG00010026928
ENSGALG00010020676	ENSGALG00010027106
ENSGALG00010020676	ENSGALG00010027108
ENSGALG00010021763	ENSGALG00010022329
ENSGALG00010021763	ENSGALG00010023724
ENSGALG00010021763	ENSGALG00010023886
ENSGALG00010021763	ENSGALG00010026909
ENSGALG00010021763	ENSGALG00010026928
ENSGALG00010021763	ENSGALG00010027106
ENSGALG00010021763	ENSGALG00010027108
ENSGALG00010022329	ENSGALG00010023724
ENSGALG00010022329	ENSGALG00010023886
ENSGALG00010022329	ENSGALG00010026909
ENSGALG00010022329	ENSGALG00010026928
ENSGALG00010022329	ENSGALG00010027106
ENSGALG00010022329	ENSGALG00010027108
ENSGALG00010023724	ENSGALG00010023886
ENSGALG00010023724	ENSGALG00010026909
ENSGALG00010023724	ENSGALG00010026928
ENSGALG00010023724	ENSGALG00010027106
ENSGALG00010023724	ENSGALG00010027108
ENSGALG00010023886	ENSGALG00010026909
ENSGALG00010023886	ENSGALG00010026928
ENSGALG00010023886	ENSGALG00010027106
ENSGALG00010023886	ENSGALG00010027108
ENSGALG00010026909	ENSGALG00010026928
ENSGALG00010026909	ENSGALG00010027106
ENSGALG00010026909	ENSGALG00010027108
ENSGALG00010026928	ENSGALG00010027106
ENSGALG00010026928	ENSGALG00010027108
ENSGALG00010027106	ENSGALG00010027108
ENSGALG00010003269	ENSGALG00010003296
ENSGALG00010003269	ENSGALG00010003320
ENSGALG00010003269	ENSGALG00010003326
