Dup1	Dup2
ENSG00000143067	ENSG00000165512
ENSG00000143067	ENSG00000167635
ENSG00000143067	ENSG00000170684
ENSG00000143067	ENSG00000171161
ENSG00000143067	ENSG00000180938
ENSG00000143067	ENSG00000269693
ENSG00000165512	ENSG00000167635
ENSG00000165512	ENSG00000170684
ENSG00000165512	ENSG00000171161
ENSG00000165512	ENSG00000180938
ENSG00000165512	ENSG00000269693
ENSG00000167635	ENSG00000170684
ENSG00000167635	ENSG00000171161
ENSG00000167635	ENSG00000180938
ENSG00000167635	ENSG00000269693
ENSG00000170684	ENSG00000171161
ENSG00000170684	ENSG00000180938
ENSG00000170684	ENSG00000269693
ENSG00000171161	ENSG00000180938
ENSG00000171161	ENSG00000269693
ENSG00000180938	ENSG00000269693
ENSG00000100197	ENSG00000108242
ENSG00000100197	ENSG00000130649
ENSG00000100197	ENSG00000134716
ENSG00000100197	ENSG00000138109
ENSG00000100197	ENSG00000138115
ENSG00000100197	ENSG00000155016
ENSG00000100197	ENSG00000165841
ENSG00000100197	ENSG00000186104
ENSG00000100197	ENSG00000197408
ENSG00000100197	ENSG00000197446
ENSG00000100197	ENSG00000197838
ENSG00000100197	ENSG00000198077
ENSG00000100197	ENSG00000255974
ENSG00000100197	ENSG00000276490
ENSG00000108242	ENSG00000130649
ENSG00000108242	ENSG00000134716
ENSG00000108242	ENSG00000138109
ENSG00000108242	ENSG00000138115
ENSG00000108242	ENSG00000155016
ENSG00000108242	ENSG00000165841
ENSG00000108242	ENSG00000186104
ENSG00000108242	ENSG00000197408
ENSG00000108242	ENSG00000197446
ENSG00000108242	ENSG00000197838
ENSG00000108242	ENSG00000198077
ENSG00000108242	ENSG00000255974
ENSG00000108242	ENSG00000276490
ENSG00000130649	ENSG00000134716
ENSG00000130649	ENSG00000138109
ENSG00000130649	ENSG00000138115
ENSG00000130649	ENSG00000155016
ENSG00000130649	ENSG00000165841
ENSG00000130649	ENSG00000186104
ENSG00000130649	ENSG00000197408
ENSG00000130649	ENSG00000197446
ENSG00000130649	ENSG00000197838
ENSG00000130649	ENSG00000198077
ENSG00000130649	ENSG00000255974
ENSG00000130649	ENSG00000276490
ENSG00000134716	ENSG00000138109
ENSG00000134716	ENSG00000138115
ENSG00000134716	ENSG00000155016
ENSG00000134716	ENSG00000165841
ENSG00000134716	ENSG00000186104
ENSG00000134716	ENSG00000197408
ENSG00000134716	ENSG00000197446
ENSG00000134716	ENSG00000197838
ENSG00000134716	ENSG00000198077
ENSG00000134716	ENSG00000255974
ENSG00000134716	ENSG00000276490
ENSG00000138109	ENSG00000138115
ENSG00000138109	ENSG00000155016
ENSG00000138109	ENSG00000165841
ENSG00000138109	ENSG00000186104
ENSG00000138109	ENSG00000197408
ENSG00000138109	ENSG00000197446
ENSG00000138109	ENSG00000197838
ENSG00000138109	ENSG00000198077
ENSG00000138109	ENSG00000255974
ENSG00000138109	ENSG00000276490
ENSG00000138115	ENSG00000155016
ENSG00000138115	ENSG00000165841
ENSG00000138115	ENSG00000186104
ENSG00000138115	ENSG00000197408
ENSG00000138115	ENSG00000197446
ENSG00000138115	ENSG00000197838
ENSG00000138115	ENSG00000198077
ENSG00000138115	ENSG00000255974
ENSG00000138115	ENSG00000276490
ENSG00000155016	ENSG00000165841
ENSG00000155016	ENSG00000186104
ENSG00000155016	ENSG00000197408
ENSG00000155016	ENSG00000197446
ENSG00000155016	ENSG00000197838
ENSG00000155016	ENSG00000198077
ENSG00000155016	ENSG00000255974
ENSG00000155016	ENSG00000276490
ENSG00000165841	ENSG00000186104
ENSG00000165841	ENSG00000197408
ENSG00000165841	ENSG00000197446
ENSG00000165841	ENSG00000197838
ENSG00000165841	ENSG00000198077
ENSG00000165841	ENSG00000255974
ENSG00000165841	ENSG00000276490
ENSG00000186104	ENSG00000197408
ENSG00000186104	ENSG00000197446
ENSG00000186104	ENSG00000197838
ENSG00000186104	ENSG00000198077
ENSG00000186104	ENSG00000255974
ENSG00000186104	ENSG00000276490
ENSG00000197408	ENSG00000197446
ENSG00000197408	ENSG00000197838
ENSG00000197408	ENSG00000198077
ENSG00000197408	ENSG00000255974
ENSG00000197408	ENSG00000276490
ENSG00000197446	ENSG00000197838
ENSG00000197446	ENSG00000198077
ENSG00000197446	ENSG00000255974
ENSG00000197446	ENSG00000276490
ENSG00000197838	ENSG00000198077
ENSG00000197838	ENSG00000255974
ENSG00000197838	ENSG00000276490
ENSG00000198077	ENSG00000255974
ENSG00000198077	ENSG00000276490
ENSG00000255974	ENSG00000276490
ENSG00000005001	ENSG00000007038
ENSG00000005001	ENSG00000010438
ENSG00000005001	ENSG00000052344
ENSG00000005001	ENSG00000092009
ENSG00000005001	ENSG00000100448
ENSG00000005001	ENSG00000100450
ENSG00000005001	ENSG00000100453
ENSG00000005001	ENSG00000103355
ENSG00000005001	ENSG00000113088
ENSG00000005001	ENSG00000116176
ENSG00000005001	ENSG00000129437
ENSG00000005001	ENSG00000137747
ENSG00000005001	ENSG00000145649
ENSG00000005001	ENSG00000160183
ENSG00000005001	ENSG00000166682
ENSG00000005001	ENSG00000167759
ENSG00000005001	ENSG00000172382
ENSG00000005001	ENSG00000174562
ENSG00000005001	ENSG00000184012
ENSG00000005001	ENSG00000185198
ENSG00000005001	ENSG00000186452
ENSG00000005001	ENSG00000186474
ENSG00000005001	ENSG00000197766
ENSG00000005001	ENSG00000204983
ENSG00000005001	ENSG00000215148
ENSG00000005001	ENSG00000237412
ENSG00000005001	ENSG00000275896
ENSG00000007038	ENSG00000010438
ENSG00000007038	ENSG00000052344
ENSG00000007038	ENSG00000092009
ENSG00000007038	ENSG00000100448
ENSG00000007038	ENSG00000100450
ENSG00000007038	ENSG00000100453
ENSG00000007038	ENSG00000103355
ENSG00000007038	ENSG00000113088
ENSG00000007038	ENSG00000116176
ENSG00000007038	ENSG00000129437
ENSG00000007038	ENSG00000137747
ENSG00000007038	ENSG00000145649
ENSG00000007038	ENSG00000160183
ENSG00000007038	ENSG00000166682
ENSG00000007038	ENSG00000167759
ENSG00000007038	ENSG00000172382
ENSG00000007038	ENSG00000174562
ENSG00000007038	ENSG00000184012
ENSG00000007038	ENSG00000185198
ENSG00000007038	ENSG00000186452
ENSG00000007038	ENSG00000186474
ENSG00000007038	ENSG00000197766
ENSG00000007038	ENSG00000204983
ENSG00000007038	ENSG00000215148
ENSG00000007038	ENSG00000237412
ENSG00000007038	ENSG00000275896
ENSG00000010438	ENSG00000052344
ENSG00000010438	ENSG00000092009
ENSG00000010438	ENSG00000100448
ENSG00000010438	ENSG00000100450
ENSG00000010438	ENSG00000100453
ENSG00000010438	ENSG00000103355
ENSG00000010438	ENSG00000113088
ENSG00000010438	ENSG00000116176
ENSG00000010438	ENSG00000129437
ENSG00000010438	ENSG00000137747
ENSG00000010438	ENSG00000145649
ENSG00000010438	ENSG00000160183
ENSG00000010438	ENSG00000166682
ENSG00000010438	ENSG00000167759
ENSG00000010438	ENSG00000172382
ENSG00000010438	ENSG00000174562
ENSG00000010438	ENSG00000184012
ENSG00000010438	ENSG00000185198
ENSG00000010438	ENSG00000186452
ENSG00000010438	ENSG00000186474
ENSG00000010438	ENSG00000197766
ENSG00000010438	ENSG00000204983
ENSG00000010438	ENSG00000215148
ENSG00000010438	ENSG00000237412
ENSG00000010438	ENSG00000275896
ENSG00000052344	ENSG00000092009
ENSG00000052344	ENSG00000100448
ENSG00000052344	ENSG00000100450
ENSG00000052344	ENSG00000100453
ENSG00000052344	ENSG00000103355
ENSG00000052344	ENSG00000113088
ENSG00000052344	ENSG00000116176
ENSG00000052344	ENSG00000129437
ENSG00000052344	ENSG00000137747
ENSG00000052344	ENSG00000145649
ENSG00000052344	ENSG00000160183
ENSG00000052344	ENSG00000166682
ENSG00000052344	ENSG00000167759
ENSG00000052344	ENSG00000172382
ENSG00000052344	ENSG00000174562
ENSG00000052344	ENSG00000184012
ENSG00000052344	ENSG00000185198
ENSG00000052344	ENSG00000186452
ENSG00000052344	ENSG00000186474
ENSG00000052344	ENSG00000197766
ENSG00000052344	ENSG00000204983
ENSG00000052344	ENSG00000215148
ENSG00000052344	ENSG00000237412
ENSG00000052344	ENSG00000275896
ENSG00000092009	ENSG00000100448
ENSG00000092009	ENSG00000100450
ENSG00000092009	ENSG00000100453
ENSG00000092009	ENSG00000103355
ENSG00000092009	ENSG00000113088
ENSG00000092009	ENSG00000116176
ENSG00000092009	ENSG00000129437
ENSG00000092009	ENSG00000137747
ENSG00000092009	ENSG00000145649
ENSG00000092009	ENSG00000160183
ENSG00000092009	ENSG00000166682
ENSG00000092009	ENSG00000167759
ENSG00000092009	ENSG00000172382
ENSG00000092009	ENSG00000174562
ENSG00000092009	ENSG00000184012
ENSG00000092009	ENSG00000185198
ENSG00000092009	ENSG00000186452
ENSG00000092009	ENSG00000186474
ENSG00000092009	ENSG00000197766
ENSG00000092009	ENSG00000204983
ENSG00000092009	ENSG00000215148
ENSG00000092009	ENSG00000237412
ENSG00000092009	ENSG00000275896
ENSG00000100448	ENSG00000100450
ENSG00000100448	ENSG00000100453
ENSG00000100448	ENSG00000103355
ENSG00000100448	ENSG00000113088
ENSG00000100448	ENSG00000116176
ENSG00000100448	ENSG00000129437
ENSG00000100448	ENSG00000137747
ENSG00000100448	ENSG00000145649
ENSG00000100448	ENSG00000160183
ENSG00000100448	ENSG00000166682
ENSG00000100448	ENSG00000167759
ENSG00000100448	ENSG00000172382
ENSG00000100448	ENSG00000174562
ENSG00000100448	ENSG00000184012
ENSG00000100448	ENSG00000185198
ENSG00000100448	ENSG00000186452
ENSG00000100448	ENSG00000186474
ENSG00000100448	ENSG00000197766
ENSG00000100448	ENSG00000204983
ENSG00000100448	ENSG00000215148
ENSG00000100448	ENSG00000237412
ENSG00000100448	ENSG00000275896
ENSG00000100450	ENSG00000100453
ENSG00000100450	ENSG00000103355
ENSG00000100450	ENSG00000113088
ENSG00000100450	ENSG00000116176
ENSG00000100450	ENSG00000129437
ENSG00000100450	ENSG00000137747
ENSG00000100450	ENSG00000145649
ENSG00000100450	ENSG00000160183
ENSG00000100450	ENSG00000166682
ENSG00000100450	ENSG00000167759
ENSG00000100450	ENSG00000172382
ENSG00000100450	ENSG00000174562
ENSG00000100450	ENSG00000184012
ENSG00000100450	ENSG00000185198
ENSG00000100450	ENSG00000186452
ENSG00000100450	ENSG00000186474
ENSG00000100450	ENSG00000197766
ENSG00000100450	ENSG00000204983
ENSG00000100450	ENSG00000215148
ENSG00000100450	ENSG00000237412
ENSG00000100450	ENSG00000275896
ENSG00000100453	ENSG00000103355
ENSG00000100453	ENSG00000113088
ENSG00000100453	ENSG00000116176
ENSG00000100453	ENSG00000129437
ENSG00000100453	ENSG00000137747
ENSG00000100453	ENSG00000145649
ENSG00000100453	ENSG00000160183
ENSG00000100453	ENSG00000166682
ENSG00000100453	ENSG00000167759
ENSG00000100453	ENSG00000172382
ENSG00000100453	ENSG00000174562
ENSG00000100453	ENSG00000184012
ENSG00000100453	ENSG00000185198
ENSG00000100453	ENSG00000186452
ENSG00000100453	ENSG00000186474
ENSG00000100453	ENSG00000197766
ENSG00000100453	ENSG00000204983
ENSG00000100453	ENSG00000215148
ENSG00000100453	ENSG00000237412
ENSG00000100453	ENSG00000275896
ENSG00000103355	ENSG00000113088
ENSG00000103355	ENSG00000116176
ENSG00000103355	ENSG00000129437
ENSG00000103355	ENSG00000137747
ENSG00000103355	ENSG00000145649
ENSG00000103355	ENSG00000160183
ENSG00000103355	ENSG00000166682
ENSG00000103355	ENSG00000167759
ENSG00000103355	ENSG00000172382
ENSG00000103355	ENSG00000174562
ENSG00000103355	ENSG00000184012
ENSG00000103355	ENSG00000185198
ENSG00000103355	ENSG00000186452
ENSG00000103355	ENSG00000186474
ENSG00000103355	ENSG00000197766
ENSG00000103355	ENSG00000204983
ENSG00000103355	ENSG00000215148
ENSG00000103355	ENSG00000237412
ENSG00000103355	ENSG00000275896
ENSG00000113088	ENSG00000116176
ENSG00000113088	ENSG00000129437
ENSG00000113088	ENSG00000137747
ENSG00000113088	ENSG00000145649
ENSG00000113088	ENSG00000160183
ENSG00000113088	ENSG00000166682
ENSG00000113088	ENSG00000167759
ENSG00000113088	ENSG00000172382
ENSG00000113088	ENSG00000174562
ENSG00000113088	ENSG00000184012
ENSG00000113088	ENSG00000185198
ENSG00000113088	ENSG00000186452
ENSG00000113088	ENSG00000186474
ENSG00000113088	ENSG00000197766
ENSG00000113088	ENSG00000204983
ENSG00000113088	ENSG00000215148
ENSG00000113088	ENSG00000237412
ENSG00000113088	ENSG00000275896
ENSG00000116176	ENSG00000129437
ENSG00000116176	ENSG00000137747
ENSG00000116176	ENSG00000145649
ENSG00000116176	ENSG00000160183
ENSG00000116176	ENSG00000166682
ENSG00000116176	ENSG00000167759
ENSG00000116176	ENSG00000172382
ENSG00000116176	ENSG00000174562
ENSG00000116176	ENSG00000184012
ENSG00000116176	ENSG00000185198
ENSG00000116176	ENSG00000186452
ENSG00000116176	ENSG00000186474
ENSG00000116176	ENSG00000197766
ENSG00000116176	ENSG00000204983
ENSG00000116176	ENSG00000215148
ENSG00000116176	ENSG00000237412
ENSG00000116176	ENSG00000275896
ENSG00000129437	ENSG00000137747
ENSG00000129437	ENSG00000145649
ENSG00000129437	ENSG00000160183
ENSG00000129437	ENSG00000166682
ENSG00000129437	ENSG00000167759
ENSG00000129437	ENSG00000172382
ENSG00000129437	ENSG00000174562
ENSG00000129437	ENSG00000184012
ENSG00000129437	ENSG00000185198
ENSG00000129437	ENSG00000186452
ENSG00000129437	ENSG00000186474
ENSG00000129437	ENSG00000197766
ENSG00000129437	ENSG00000204983
ENSG00000129437	ENSG00000215148
ENSG00000129437	ENSG00000237412
ENSG00000129437	ENSG00000275896
ENSG00000137747	ENSG00000145649
ENSG00000137747	ENSG00000160183
ENSG00000137747	ENSG00000166682
ENSG00000137747	ENSG00000167759
ENSG00000137747	ENSG00000172382
ENSG00000137747	ENSG00000174562
ENSG00000137747	ENSG00000184012
ENSG00000137747	ENSG00000185198
ENSG00000137747	ENSG00000186452
ENSG00000137747	ENSG00000186474
ENSG00000137747	ENSG00000197766
ENSG00000137747	ENSG00000204983
ENSG00000137747	ENSG00000215148
ENSG00000137747	ENSG00000237412
ENSG00000137747	ENSG00000275896
ENSG00000145649	ENSG00000160183
ENSG00000145649	ENSG00000166682
ENSG00000145649	ENSG00000167759
ENSG00000145649	ENSG00000172382
ENSG00000145649	ENSG00000174562
ENSG00000145649	ENSG00000184012
ENSG00000145649	ENSG00000185198
ENSG00000145649	ENSG00000186452
ENSG00000145649	ENSG00000186474
ENSG00000145649	ENSG00000197766
ENSG00000145649	ENSG00000204983
ENSG00000145649	ENSG00000215148
ENSG00000145649	ENSG00000237412
ENSG00000145649	ENSG00000275896
ENSG00000160183	ENSG00000166682
ENSG00000160183	ENSG00000167759
ENSG00000160183	ENSG00000172382
ENSG00000160183	ENSG00000174562
ENSG00000160183	ENSG00000184012
ENSG00000160183	ENSG00000185198
ENSG00000160183	ENSG00000186452
ENSG00000160183	ENSG00000186474
ENSG00000160183	ENSG00000197766
ENSG00000160183	ENSG00000204983
ENSG00000160183	ENSG00000215148
ENSG00000160183	ENSG00000237412
ENSG00000160183	ENSG00000275896
ENSG00000166682	ENSG00000167759
ENSG00000166682	ENSG00000172382
ENSG00000166682	ENSG00000174562
ENSG00000166682	ENSG00000184012
ENSG00000166682	ENSG00000185198
ENSG00000166682	ENSG00000186452
ENSG00000166682	ENSG00000186474
ENSG00000166682	ENSG00000197766
ENSG00000166682	ENSG00000204983
ENSG00000166682	ENSG00000215148
ENSG00000166682	ENSG00000237412
ENSG00000166682	ENSG00000275896
ENSG00000167759	ENSG00000172382
ENSG00000167759	ENSG00000174562
ENSG00000167759	ENSG00000184012
ENSG00000167759	ENSG00000185198
ENSG00000167759	ENSG00000186452
ENSG00000167759	ENSG00000186474
ENSG00000167759	ENSG00000197766
ENSG00000167759	ENSG00000204983
ENSG00000167759	ENSG00000215148
ENSG00000167759	ENSG00000237412
ENSG00000167759	ENSG00000275896
ENSG00000172382	ENSG00000174562
ENSG00000172382	ENSG00000184012
ENSG00000172382	ENSG00000185198
ENSG00000172382	ENSG00000186452
ENSG00000172382	ENSG00000186474
ENSG00000172382	ENSG00000197766
ENSG00000172382	ENSG00000204983
ENSG00000172382	ENSG00000215148
ENSG00000172382	ENSG00000237412
ENSG00000172382	ENSG00000275896
ENSG00000174562	ENSG00000184012
ENSG00000174562	ENSG00000185198
ENSG00000174562	ENSG00000186452
ENSG00000174562	ENSG00000186474
ENSG00000174562	ENSG00000197766
ENSG00000174562	ENSG00000204983
ENSG00000174562	ENSG00000215148
ENSG00000174562	ENSG00000237412
ENSG00000174562	ENSG00000275896
ENSG00000184012	ENSG00000185198
ENSG00000184012	ENSG00000186452
ENSG00000184012	ENSG00000186474
ENSG00000184012	ENSG00000197766
ENSG00000184012	ENSG00000204983
ENSG00000184012	ENSG00000215148
ENSG00000184012	ENSG00000237412
ENSG00000184012	ENSG00000275896
ENSG00000185198	ENSG00000186452
ENSG00000185198	ENSG00000186474
ENSG00000185198	ENSG00000197766
ENSG00000185198	ENSG00000204983
ENSG00000185198	ENSG00000215148
ENSG00000185198	ENSG00000237412
ENSG00000185198	ENSG00000275896
ENSG00000186452	ENSG00000186474
ENSG00000186452	ENSG00000197766
ENSG00000186452	ENSG00000204983
ENSG00000186452	ENSG00000215148
ENSG00000186452	ENSG00000237412
ENSG00000186452	ENSG00000275896
ENSG00000186474	ENSG00000197766
ENSG00000186474	ENSG00000204983
ENSG00000186474	ENSG00000215148
ENSG00000186474	ENSG00000237412
ENSG00000186474	ENSG00000275896
ENSG00000197766	ENSG00000204983
ENSG00000197766	ENSG00000215148
ENSG00000197766	ENSG00000237412
ENSG00000197766	ENSG00000275896
ENSG00000204983	ENSG00000215148
ENSG00000204983	ENSG00000237412
ENSG00000204983	ENSG00000275896
ENSG00000215148	ENSG00000237412
ENSG00000215148	ENSG00000275896
ENSG00000237412	ENSG00000275896
ENSG00000041982	ENSG00000085265
ENSG00000041982	ENSG00000104760
ENSG00000041982	ENSG00000116147
ENSG00000041982	ENSG00000120332
ENSG00000041982	ENSG00000130720
ENSG00000041982	ENSG00000132855
ENSG00000041982	ENSG00000142748
ENSG00000041982	ENSG00000160339
ENSG00000041982	ENSG00000166482
ENSG00000041982	ENSG00000167772
ENSG00000041982	ENSG00000171560
