Dup1	Dup2
MSTRG.11018	MSTRG.11069
MSTRG.11018	MSTRG.11071
MSTRG.11018	MSTRG.13278
MSTRG.11018	MSTRG.13287
MSTRG.11018	MSTRG.13288
MSTRG.11018	MSTRG.18285
MSTRG.11018	MSTRG.18807
MSTRG.11018	MSTRG.18808
MSTRG.11018	MSTRG.21608
MSTRG.11018	MSTRG.6934
MSTRG.11018	MSTRG.792
MSTRG.11018	MSTRG.9883
MSTRG.11069	MSTRG.11071
MSTRG.11069	MSTRG.13278
MSTRG.11069	MSTRG.13287
MSTRG.11069	MSTRG.13288
MSTRG.11069	MSTRG.18285
MSTRG.11069	MSTRG.18807
MSTRG.11069	MSTRG.18808
MSTRG.11069	MSTRG.21608
MSTRG.11069	MSTRG.6934
MSTRG.11069	MSTRG.792
MSTRG.11069	MSTRG.9883
MSTRG.11071	MSTRG.13278
MSTRG.11071	MSTRG.13287
MSTRG.11071	MSTRG.13288
MSTRG.11071	MSTRG.18285
MSTRG.11071	MSTRG.18807
MSTRG.11071	MSTRG.18808
MSTRG.11071	MSTRG.21608
MSTRG.11071	MSTRG.6934
MSTRG.11071	MSTRG.792
MSTRG.11071	MSTRG.9883
MSTRG.13278	MSTRG.13287
MSTRG.13278	MSTRG.13288
MSTRG.13278	MSTRG.18285
MSTRG.13278	MSTRG.18807
MSTRG.13278	MSTRG.18808
MSTRG.13278	MSTRG.21608
MSTRG.13278	MSTRG.6934
MSTRG.13278	MSTRG.792
MSTRG.13278	MSTRG.9883
MSTRG.13287	MSTRG.13288
MSTRG.13287	MSTRG.18285
MSTRG.13287	MSTRG.18807
MSTRG.13287	MSTRG.18808
MSTRG.13287	MSTRG.21608
MSTRG.13287	MSTRG.6934
MSTRG.13287	MSTRG.792
MSTRG.13287	MSTRG.9883
MSTRG.13288	MSTRG.18285
MSTRG.13288	MSTRG.18807
MSTRG.13288	MSTRG.18808
MSTRG.13288	MSTRG.21608
MSTRG.13288	MSTRG.6934
MSTRG.13288	MSTRG.792
MSTRG.13288	MSTRG.9883
MSTRG.18285	MSTRG.18807
MSTRG.18285	MSTRG.18808
MSTRG.18285	MSTRG.21608
MSTRG.18285	MSTRG.6934
MSTRG.18285	MSTRG.792
MSTRG.18285	MSTRG.9883
MSTRG.18807	MSTRG.18808
MSTRG.18807	MSTRG.21608
MSTRG.18807	MSTRG.6934
MSTRG.18807	MSTRG.792
MSTRG.18807	MSTRG.9883
MSTRG.18808	MSTRG.21608
MSTRG.18808	MSTRG.6934
MSTRG.18808	MSTRG.792
MSTRG.18808	MSTRG.9883
MSTRG.21608	MSTRG.6934
MSTRG.21608	MSTRG.792
MSTRG.21608	MSTRG.9883
MSTRG.6934	MSTRG.792
MSTRG.6934	MSTRG.9883
MSTRG.792	MSTRG.9883
MSTRG.13842	MSTRG.20466
MSTRG.13842	MSTRG.21147
MSTRG.13842	MSTRG.21148
MSTRG.13842	MSTRG.21149
MSTRG.13842	MSTRG.21748
MSTRG.13842	MSTRG.23099
MSTRG.13842	MSTRG.23211
MSTRG.13842	MSTRG.25393
MSTRG.13842	MSTRG.25496
MSTRG.13842	MSTRG.25853
MSTRG.13842	MSTRG.26798
MSTRG.13842	MSTRG.6425
MSTRG.13842	MSTRG.7704
MSTRG.13842	MSTRG.7705
MSTRG.13842	MSTRG.7857
MSTRG.13842	MSTRG.7858
MSTRG.13842	MSTRG.7859
MSTRG.13842	MSTRG.7909
MSTRG.13842	MSTRG.7912
MSTRG.13842	MSTRG.9689
MSTRG.13842	PMZ_0003949
MSTRG.13842	PMZ_0026326
MSTRG.13842	PMZ_0036803
MSTRG.13842	PMZ_0038850
MSTRG.13842	PMZ_0048507
MSTRG.13842	PMZ_0048708
MSTRG.20466	MSTRG.21147
MSTRG.20466	MSTRG.21148
MSTRG.20466	MSTRG.21149
MSTRG.20466	MSTRG.21748
MSTRG.20466	MSTRG.23099
MSTRG.20466	MSTRG.23211
MSTRG.20466	MSTRG.25393
MSTRG.20466	MSTRG.25496
MSTRG.20466	MSTRG.25853
MSTRG.20466	MSTRG.26798
MSTRG.20466	MSTRG.6425
MSTRG.20466	MSTRG.7704
MSTRG.20466	MSTRG.7705
MSTRG.20466	MSTRG.7857
MSTRG.20466	MSTRG.7858
MSTRG.20466	MSTRG.7859
MSTRG.20466	MSTRG.7909
MSTRG.20466	MSTRG.7912
MSTRG.20466	MSTRG.9689
MSTRG.20466	PMZ_0003949
MSTRG.20466	PMZ_0026326
MSTRG.20466	PMZ_0036803
MSTRG.20466	PMZ_0038850
MSTRG.20466	PMZ_0048507
MSTRG.20466	PMZ_0048708
MSTRG.21147	MSTRG.21148
MSTRG.21147	MSTRG.21149
MSTRG.21147	MSTRG.21748
MSTRG.21147	MSTRG.23099
MSTRG.21147	MSTRG.23211
MSTRG.21147	MSTRG.25393
MSTRG.21147	MSTRG.25496
MSTRG.21147	MSTRG.25853
MSTRG.21147	MSTRG.26798
MSTRG.21147	MSTRG.6425
MSTRG.21147	MSTRG.7704
MSTRG.21147	MSTRG.7705
MSTRG.21147	MSTRG.7857
MSTRG.21147	MSTRG.7858
MSTRG.21147	MSTRG.7859
MSTRG.21147	MSTRG.7909
MSTRG.21147	MSTRG.7912
MSTRG.21147	MSTRG.9689
MSTRG.21147	PMZ_0003949
MSTRG.21147	PMZ_0026326
MSTRG.21147	PMZ_0036803
MSTRG.21147	PMZ_0038850
MSTRG.21147	PMZ_0048507
MSTRG.21147	PMZ_0048708
MSTRG.21148	MSTRG.21149
MSTRG.21148	MSTRG.21748
MSTRG.21148	MSTRG.23099
MSTRG.21148	MSTRG.23211
MSTRG.21148	MSTRG.25393
MSTRG.21148	MSTRG.25496
MSTRG.21148	MSTRG.25853
