Dup1	Dup2
Gm10139	Gm10772
Gm10139	Zfp146
Gm10139	Zfp239
Gm10139	Zfp296
Gm10139	Zfp420
Gm10139	Zfp422
Gm10139	Zfp697
Gm10772	Zfp146
Gm10772	Zfp239
Gm10772	Zfp296
Gm10772	Zfp420
Gm10772	Zfp422
Gm10772	Zfp697
Zfp146	Zfp239
Zfp146	Zfp296
Zfp146	Zfp420
Zfp146	Zfp422
Zfp146	Zfp697
Zfp239	Zfp296
Zfp239	Zfp420
Zfp239	Zfp422
Zfp239	Zfp697
Zfp296	Zfp420
Zfp296	Zfp422
Zfp296	Zfp697
Zfp420	Zfp422
Zfp420	Zfp697
Zfp422	Zfp697
Angptl3	Angptl4
Angptl3	Fcna
Angptl3	Fcnb
Angptl3	Fga
Angptl3	Fgl1
Angptl3	Fibcd1
Angptl3	Mfap4
Angptl3	Tnc
Angptl3	Tnn
Angptl3	Tnr
Angptl4	Fcna
Angptl4	Fcnb
Angptl4	Fga
Angptl4	Fgl1
Angptl4	Fibcd1
Angptl4	Mfap4
Angptl4	Tnc
Angptl4	Tnn
Angptl4	Tnr
Fcna	Fcnb
Fcna	Fga
Fcna	Fgl1
Fcna	Fibcd1
Fcna	Mfap4
Fcna	Tnc
Fcna	Tnn
Fcna	Tnr
Fcnb	Fga
Fcnb	Fgl1
Fcnb	Fibcd1
Fcnb	Mfap4
Fcnb	Tnc
Fcnb	Tnn
Fcnb	Tnr
Fga	Fgl1
Fga	Fibcd1
Fga	Mfap4
Fga	Tnc
Fga	Tnn
Fga	Tnr
Fgl1	Fibcd1
Fgl1	Mfap4
Fgl1	Tnc
Fgl1	Tnn
Fgl1	Tnr
Fibcd1	Mfap4
Fibcd1	Tnc
Fibcd1	Tnn
Fibcd1	Tnr
Mfap4	Tnc
Mfap4	Tnn
Mfap4	Tnr
Tnc	Tnn
Tnc	Tnr
Tnn	Tnr
Sult1a1	Sult1b1
Sult1a1	Sult1c1
Sult1a1	Sult1c2
Sult1a1	Sult1d1
Sult1a1	Sult1e1
Sult1a1	Sult2a1
Sult1a1	Sult2a2
Sult1a1	Sult2a3
Sult1a1	Sult2a4
Sult1a1	Sult2a5
Sult1a1	Sult2a6
Sult1a1	Sult2a7
Sult1a1	Sult2a8
Sult1a1	Sult2b1
Sult1a1	Sult3a1
Sult1a1	Sult3a2
Sult1a1	Sult5a1
Sult1a1	Sult6b1
Sult1a1	Sult6b2
Sult1b1	Sult1c1
Sult1b1	Sult1c2
Sult1b1	Sult1d1
Sult1b1	Sult1e1
Sult1b1	Sult2a1
Sult1b1	Sult2a2
Sult1b1	Sult2a3
Sult1b1	Sult2a4
Sult1b1	Sult2a5
Sult1b1	Sult2a6
Sult1b1	Sult2a7
Sult1b1	Sult2a8
Sult1b1	Sult2b1
Sult1b1	Sult3a1
Sult1b1	Sult3a2
Sult1b1	Sult5a1
Sult1b1	Sult6b1
Sult1b1	Sult6b2
Sult1c1	Sult1c2
Sult1c1	Sult1d1
Sult1c1	Sult1e1
Sult1c1	Sult2a1
Sult1c1	Sult2a2
Sult1c1	Sult2a3
Sult1c1	Sult2a4
Sult1c1	Sult2a5
Sult1c1	Sult2a6
Sult1c1	Sult2a7
Sult1c1	Sult2a8
Sult1c1	Sult2b1
Sult1c1	Sult3a1
Sult1c1	Sult3a2
Sult1c1	Sult5a1
Sult1c1	Sult6b1
Sult1c1	Sult6b2
Sult1c2	Sult1d1
Sult1c2	Sult1e1
Sult1c2	Sult2a1
Sult1c2	Sult2a2
Sult1c2	Sult2a3
Sult1c2	Sult2a4
Sult1c2	Sult2a5
Sult1c2	Sult2a6
Sult1c2	Sult2a7
Sult1c2	Sult2a8
Sult1c2	Sult2b1
Sult1c2	Sult3a1
Sult1c2	Sult3a2
Sult1c2	Sult5a1
Sult1c2	Sult6b1
Sult1c2	Sult6b2
Sult1d1	Sult1e1
Sult1d1	Sult2a1
Sult1d1	Sult2a2
Sult1d1	Sult2a3
Sult1d1	Sult2a4
Sult1d1	Sult2a5
Sult1d1	Sult2a6
Sult1d1	Sult2a7
Sult1d1	Sult2a8
Sult1d1	Sult2b1
Sult1d1	Sult3a1
Sult1d1	Sult3a2
Sult1d1	Sult5a1
Sult1d1	Sult6b1
Sult1d1	Sult6b2
Sult1e1	Sult2a1
Sult1e1	Sult2a2
Sult1e1	Sult2a3
Sult1e1	Sult2a4
Sult1e1	Sult2a5
Sult1e1	Sult2a6
Sult1e1	Sult2a7
Sult1e1	Sult2a8
Sult1e1	Sult2b1
Sult1e1	Sult3a1
Sult1e1	Sult3a2
Sult1e1	Sult5a1
Sult1e1	Sult6b1
Sult1e1	Sult6b2
Sult2a1	Sult2a2
Sult2a1	Sult2a3
Sult2a1	Sult2a4
Sult2a1	Sult2a5
Sult2a1	Sult2a6
Sult2a1	Sult2a7
Sult2a1	Sult2a8
Sult2a1	Sult2b1
Sult2a1	Sult3a1
Sult2a1	Sult3a2
Sult2a1	Sult5a1
Sult2a1	Sult6b1
Sult2a1	Sult6b2
Sult2a2	Sult2a3
Sult2a2	Sult2a4
Sult2a2	Sult2a5
Sult2a2	Sult2a6
Sult2a2	Sult2a7
Sult2a2	Sult2a8
Sult2a2	Sult2b1
Sult2a2	Sult3a1
Sult2a2	Sult3a2
Sult2a2	Sult5a1
Sult2a2	Sult6b1
Sult2a2	Sult6b2
Sult2a3	Sult2a4
Sult2a3	Sult2a5
Sult2a3	Sult2a6
Sult2a3	Sult2a7
Sult2a3	Sult2a8
Sult2a3	Sult2b1
Sult2a3	Sult3a1
Sult2a3	Sult3a2
Sult2a3	Sult5a1
Sult2a3	Sult6b1
Sult2a3	Sult6b2
Sult2a4	Sult2a5
Sult2a4	Sult2a6
Sult2a4	Sult2a7
Sult2a4	Sult2a8
Sult2a4	Sult2b1
Sult2a4	Sult3a1
Sult2a4	Sult3a2
Sult2a4	Sult5a1
Sult2a4	Sult6b1
Sult2a4	Sult6b2
Sult2a5	Sult2a6
Sult2a5	Sult2a7
Sult2a5	Sult2a8
Sult2a5	Sult2b1
Sult2a5	Sult3a1
Sult2a5	Sult3a2
Sult2a5	Sult5a1
Sult2a5	Sult6b1
Sult2a5	Sult6b2
Sult2a6	Sult2a7
Sult2a6	Sult2a8
Sult2a6	Sult2b1
Sult2a6	Sult3a1
Sult2a6	Sult3a2
Sult2a6	Sult5a1
Sult2a6	Sult6b1
Sult2a6	Sult6b2
Sult2a7	Sult2a8
Sult2a7	Sult2b1
Sult2a7	Sult3a1
Sult2a7	Sult3a2
Sult2a7	Sult5a1
Sult2a7	Sult6b1
Sult2a7	Sult6b2
Sult2a8	Sult2b1
Sult2a8	Sult3a1
Sult2a8	Sult3a2
Sult2a8	Sult5a1
Sult2a8	Sult6b1
Sult2a8	Sult6b2
Sult2b1	Sult3a1
Sult2b1	Sult3a2
Sult2b1	Sult5a1
Sult2b1	Sult6b1
Sult2b1	Sult6b2
Sult3a1	Sult3a2
Sult3a1	Sult5a1
Sult3a1	Sult6b1
Sult3a1	Sult6b2
Sult3a2	Sult5a1
Sult3a2	Sult6b1
Sult3a2	Sult6b2
Sult5a1	Sult6b1
Sult5a1	Sult6b2
Sult6b1	Sult6b2
H2ac1	H2ac10
H2ac1	H2ac11
H2ac1	H2ac12
H2ac1	H2ac13
H2ac1	H2ac15
H2ac1	H2ac18
H2ac1	H2ac19
H2ac1	H2ac20
H2ac1	H2ac21
H2ac1	H2ac22
H2ac1	H2ac23
H2ac1	H2ac24
H2ac1	H2ac25
H2ac1	H2ac4
H2ac1	H2ac6
H2ac1	H2ac7
H2ac1	H2ac8
H2ac1	H2aj
H2ac1	H2ax
H2ac10	H2ac11
H2ac10	H2ac12
H2ac10	H2ac13
H2ac10	H2ac15
H2ac10	H2ac18
H2ac10	H2ac19
H2ac10	H2ac20
H2ac10	H2ac21
H2ac10	H2ac22
H2ac10	H2ac23
H2ac10	H2ac24
H2ac10	H2ac25
H2ac10	H2ac4
H2ac10	H2ac6
H2ac10	H2ac7
H2ac10	H2ac8
H2ac10	H2aj
H2ac10	H2ax
H2ac11	H2ac12
H2ac11	H2ac13
H2ac11	H2ac15
H2ac11	H2ac18
H2ac11	H2ac19
H2ac11	H2ac20
H2ac11	H2ac21
H2ac11	H2ac22
H2ac11	H2ac23
H2ac11	H2ac24
H2ac11	H2ac25
H2ac11	H2ac4
H2ac11	H2ac6
H2ac11	H2ac7
H2ac11	H2ac8
H2ac11	H2aj
H2ac11	H2ax
H2ac12	H2ac13
H2ac12	H2ac15
H2ac12	H2ac18
H2ac12	H2ac19
H2ac12	H2ac20
H2ac12	H2ac21
H2ac12	H2ac22
H2ac12	H2ac23
H2ac12	H2ac24
H2ac12	H2ac25
H2ac12	H2ac4
H2ac12	H2ac6
H2ac12	H2ac7
H2ac12	H2ac8
H2ac12	H2aj
H2ac12	H2ax
H2ac13	H2ac15
H2ac13	H2ac18
H2ac13	H2ac19
H2ac13	H2ac20
H2ac13	H2ac21
H2ac13	H2ac22
H2ac13	H2ac23
H2ac13	H2ac24
H2ac13	H2ac25
H2ac13	H2ac4
H2ac13	H2ac6
H2ac13	H2ac7
H2ac13	H2ac8
H2ac13	H2aj
H2ac13	H2ax
H2ac15	H2ac18
H2ac15	H2ac19
H2ac15	H2ac20
H2ac15	H2ac21
H2ac15	H2ac22
H2ac15	H2ac23
H2ac15	H2ac24
H2ac15	H2ac25
H2ac15	H2ac4
H2ac15	H2ac6
H2ac15	H2ac7
H2ac15	H2ac8
H2ac15	H2aj
H2ac15	H2ax
H2ac18	H2ac19
H2ac18	H2ac20
H2ac18	H2ac21
H2ac18	H2ac22
H2ac18	H2ac23
H2ac18	H2ac24
H2ac18	H2ac25
H2ac18	H2ac4
H2ac18	H2ac6
H2ac18	H2ac7
H2ac18	H2ac8
H2ac18	H2aj
H2ac18	H2ax
H2ac19	H2ac20
H2ac19	H2ac21
H2ac19	H2ac22
H2ac19	H2ac23
H2ac19	H2ac24
H2ac19	H2ac25
H2ac19	H2ac4
H2ac19	H2ac6
H2ac19	H2ac7
H2ac19	H2ac8
H2ac19	H2aj
