p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	species	gene_name	TF	type	family	orthogroup
7.68902290438138e-196	5.15508847106725	0.735	0.074	1.51319970758226e-191	Astrocytes	ENSG00000124440	Hsap	HIF3A	TRUE	WGD	ENSG00000124440,ENSG00000100644,ENSG00000116016	OG0001189
3.37644284103837e-13	3.06708764031899	0.101	0.014	6.64483951116351e-09	Astrocytes	ENSG00000116016	Hsap	EPAS1	TRUE	WGD	ENSG00000124440,ENSG00000100644,ENSG00000116016	OG0001189
1.68739601504075e-55	2.73093436348347	0.445	0.135	3.32079535760019e-51	Astrocytes	ENSG00000100644	Hsap	HIF1A	TRUE	WGD	ENSG00000124440,ENSG00000100644,ENSG00000116016	OG0001189
5.57538911689913e-41	1.25687316555633	0.634	0.39	1.09723657820575e-36	Astrocytes	ENSG00000151623	Hsap	NR3C2	TRUE	SSD	ENSG00000082175,ENSG00000113580,ENSG00000151623,ENSG00000169083	OG0001039
6.59346399944915e-47	5.04035229814036	0.23	0.011	1.23871408157651e-42	Astrocytes	Epas1	Mmus	ENSMUSG00000024140	TRUE	WGD	Hif3a,Epas1,Hif1a	OG0001189
7.73038010578911e-33	3.2255602003485	0.209	0.035	1.4523065104746e-28	Astrocytes	Nr3c1	Mmus	ENSMUSG00000024431	TRUE	SSD	Ar,Nr3c1,Nr3c2,Pgr	OG0001039
8.31287560900289e-15	2.96909789366604	0.114	0.026	1.56173994066337e-10	Astrocytes	Hif1a	Mmus	ENSMUSG00000021109	TRUE	WGD	Hif3a,Epas1,Hif1a	OG0001189
3.27886019762687e-47	1.61102765463416	0.167	0.054	6.19409479933692e-43	Astrocytes	HIF1A	Pvit	HIF1A	TRUE	WGD	HIF1A,HIF3A,EPAS1	OG0001189
2.17997811369482e-42	1.14741856881545	0.218	0.095	4.11819665458088e-38	Astrocytes	NR3C1	Pvit	NR3C1	TRUE	SSD	LOC110074358,NR3C1,NR3C2,PGR	OG0001039
1.75423759741549e-142	1.84883706553239	0.277	0.083	3.01448188739877e-138	Astrocytes	MSTRG.3758	Pmar	MSTRG.3758	TRUE	WGD	MSTRG.9221,MSTRG.3758,MSTRG.12139	OG0001189
6.37194757356442e-32	0.806442009690285	0.258	0.166	1.09495547104131e-27	Astrocytes	MSTRG.8594	Pmar	MSTRG.8594	TRUE	SSD	MSTRG.7215,MSTRG.8594	OG0001039
0	6.1140522230477	0.448	0.008	0	Ependymal cells	ENSG00000129654	Hsap	FOXJ1	TRUE	Others		OG0003901
1.49352909554364e-26	0.989783001734001	0.465	0.255	2.93926526002989e-22	Ependymal cells	ENSG00000130522	Hsap	JUND	TRUE	WGD	ENSG00000130522,ENSG00000177606,ENSG00000171223	OG0000895
6.57144423895812e-35	1.11571582537166	0.502	0.285	1.29326022622696e-30	Ependymal cells	ENSG00000152977	Hsap	ZIC1	TRUE	WGD	ENSG00000156925,ENSG00000139800,ENSG00000043355,ENSG00000152977,ENSG00000174963	OG0000286
1.06792696897549e-12	0.637643418683744	0.356	0.221	2.10168027494376e-08	Ependymal cells	ENSG00000170345	Hsap	FOS	TRUE	WGD	ENSG00000175592,ENSG00000170345	OG0000475
0	5.83110294819724	0.794	0.025	0	Ependymal cells	Foxj1	Mmus	ENSMUSG00000034227	TRUE	Others		OG0003901
5.28129176140353e-236	3.96857285757977	0.376	0.035	9.92196283214881e-232	Ependymal cells	Fos	Mmus	ENSMUSG00000021250	TRUE	WGD	Fos,Fosl1	OG0000475
1.30343989268313e-58	1.94664996556004	0.149	0.025	2.4487725263838e-54	Ependymal cells	Zic4	Mmus	ENSMUSG00000036972	TRUE	WGD	Zic5,Zic1,Zic4,Zic2,Zic3	OG0000286
2.26538383108142e-98	1.7291437819719	0.293	0.059	4.25597660345267e-94	Ependymal cells	Junb	Mmus	ENSMUSG00000052837	TRUE	WGD	Jun,Junb,Jund	OG0000895
1.38499948994271e-222	2.68940687613587	0.595	0.128	2.60199854175538e-218	Ependymal cells	Jun	Mmus	ENSMUSG00000052684	TRUE	WGD	Jun,Junb,Jund	OG0000895
1.24239001298848e-283	2.46791876304922	0.826	0.234	2.33407811740146e-279	Ependymal cells	Jund	Mmus	ENSMUSG00000071076	TRUE	WGD	Jun,Junb,Jund	OG0000895
0	4.17323065801714	0.54	0.049	0	Ependymal cells	ZIC2	Pvit	ZIC2	TRUE	WGD	LOC110073043,ZIC1,ZIC3,ZIC2,ZIC5	OG0000286
1.0860007536327e-171	2.52814974136638	0.26	0.045	2.05156402368753e-167	Ependymal cells	ZIC1	Pvit	ZIC1	TRUE	WGD	LOC110073043,ZIC1,ZIC3,ZIC2,ZIC5	OG0000286
7.13855388687123e-116	2.52824885223975	0.21	0.046	1.34854421476884e-111	Ependymal cells	FOXJ1	Pvit	FOXJ1	TRUE	SSD	FOXJ1,LOC110089104	OG0003901
8.42267143072261e-227	2.04295555413882	0.464	0.14	1.59112685997781e-222	Ependymal cells	JUN	Pvit	JUN	TRUE	WGD	JUN,JUNB	OG0000895
5.47963266183385e-115	1.71850820125266	0.278	0.085	1.03515740614703e-110	Ependymal cells	ZIC3	Pvit	ZIC3	TRUE	WGD	LOC110073043,ZIC1,ZIC3,ZIC2,ZIC5	OG0000286
6.50499885794059e-236	1.84577306680117	0.534	0.19	1.22885933425356e-231	Ependymal cells	JUNB	Pvit	JUNB	TRUE	WGD	JUN,JUNB	OG0000895
