Ohno1	Ohno2	Symbol1	Symbol2
MSTRG.3832	MSTRG.10906	MSTRG.3832	MSTRG.10906
MSTRG.13172	MSTRG.12467	MSTRG.13172	MSTRG.12467
MSTRG.10914	MSTRG.8203	MSTRG.10914	MSTRG.8203
MSTRG.2870	MSTRG.14591	MSTRG.2870	MSTRG.14591
MSTRG.12579	MSTRG.5946	MSTRG.12579	MSTRG.5946
MSTRG.5351	MSTRG.9919	MSTRG.5351	MSTRG.9919
MSTRG.1210	MSTRG.7415	MSTRG.1210	MSTRG.7415
MSTRG.5425	MSTRG.858	MSTRG.5425	MSTRG.858
MSTRG.4036	MSTRG.2311	MSTRG.4036	MSTRG.2311
MSTRG.10491	MSTRG.8070	MSTRG.10491	MSTRG.8070
MSTRG.17882	MSTRG.1785	MSTRG.17882	MSTRG.1785
MSTRG.6377	MSTRG.11887	MSTRG.6377	MSTRG.11887
MSTRG.7249	MSTRG.8471	MSTRG.7249	MSTRG.8471
MSTRG.11100	MSTRG.1410	MSTRG.11100	MSTRG.1410
MSTRG.17102	MSTRG.2704	MSTRG.17102	MSTRG.2704
MSTRG.3710	MSTRG.12012	MSTRG.3710	MSTRG.12012
MSTRG.6831	MSTRG.4572	MSTRG.6831	MSTRG.4572
MSTRG.11184	MSTRG.6841	MSTRG.11184	MSTRG.6841
MSTRG.943	MSTRG.16129	MSTRG.943	MSTRG.16129
MSTRG.750	MSTRG.175	MSTRG.750	MSTRG.175
MSTRG.11967	MSTRG.8293	MSTRG.11967	MSTRG.8293
PMZ_0028581	MSTRG.11882	PMZ_0028581	MSTRG.11882
MSTRG.17302	MSTRG.8740	MSTRG.17302	MSTRG.8740
MSTRG.5796	MSTRG.6610	MSTRG.5796	MSTRG.6610
MSTRG.17351	MSTRG.18045	MSTRG.17351	MSTRG.18045
MSTRG.15191	MSTRG.12376	MSTRG.15191	MSTRG.12376
MSTRG.6559	MSTRG.5767	MSTRG.6559	MSTRG.5767
MSTRG.5974	MSTRG.1618	MSTRG.5974	MSTRG.1618
MSTRG.5319	MSTRG.831	MSTRG.5319	MSTRG.831
MSTRG.1122	MSTRG.5533	MSTRG.1122	MSTRG.5533
MSTRG.10146	MSTRG.17871	MSTRG.10146	MSTRG.17871
PMZ_0030209	PMZ_0043056	PMZ_0030209	PMZ_0043056
MSTRG.18107	MSTRG.10506	MSTRG.18107	MSTRG.10506
MSTRG.167	MSTRG.629	MSTRG.167	MSTRG.629
MSTRG.5177	MSTRG.13538	MSTRG.5177	MSTRG.13538
MSTRG.16486	PMZ_0040800	MSTRG.16486	PMZ_0040800
PMZ_0048439	PMZ_0048651	PMZ_0048439	PMZ_0048651
MSTRG.665	MSTRG.6341	MSTRG.665	MSTRG.6341
MSTRG.13129	MSTRG.7734	MSTRG.13129	MSTRG.7734
MSTRG.7549	MSTRG.13746	MSTRG.7549	MSTRG.13746
MSTRG.8990	MSTRG.14712	MSTRG.8990	MSTRG.14712
MSTRG.1479	MSTRG.6825	MSTRG.1479	MSTRG.6825
MSTRG.6971	MSTRG.17839	MSTRG.6971	MSTRG.17839
MSTRG.5658	MSTRG.6627	MSTRG.5658	MSTRG.6627
MSTRG.1986	MSTRG.6021	MSTRG.1986	MSTRG.6021
MSTRG.2142	MSTRG.1790	MSTRG.2142	MSTRG.1790
MSTRG.4054	MSTRG.16868	MSTRG.4054	MSTRG.16868
MSTRG.2377	MSTRG.6163	MSTRG.2377	MSTRG.6163
PMZ_0044964	MSTRG.1633	PMZ_0044964	MSTRG.1633
MSTRG.12404	MSTRG.13189	MSTRG.12404	MSTRG.13189
MSTRG.2877	MSTRG.19242	MSTRG.2877	MSTRG.19242
MSTRG.57	MSTRG.2995	MSTRG.57	MSTRG.2995
MSTRG.1213	MSTRG.8603	MSTRG.1213	MSTRG.8603
MSTRG.8559	MSTRG.7293	MSTRG.8559	MSTRG.7293
PMZ_0037549	PMZ_0026392	PMZ_0037549	PMZ_0026392
MSTRG.5911	MSTRG.1854	MSTRG.5911	MSTRG.1854
PMZ_0016911	PMZ_0010023	PMZ_0016911	PMZ_0010023
MSTRG.12747	MSTRG.3842	MSTRG.12747	MSTRG.3842
PMZ_0036250	PMZ_0048598	PMZ_0036250	PMZ_0048598
MSTRG.7638	MSTRG.4074	MSTRG.7638	MSTRG.4074
MSTRG.6173	MSTRG.9052	MSTRG.6173	MSTRG.9052
MSTRG.4485	MSTRG.15016	MSTRG.4485	MSTRG.15016
